0,0,0,0,0,0,0,0.0128205,0.24359,0,0,0,0.410256,0,0,0.0897436,0,0,0,0.24359
0,0,0,0,0.134409,0.241935,0,0,0,0.0806452,0,0,0.016129,0,0,0,0.526882,0,0,0
0.0408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.959184,0,0
0,0,0,0,0,0.666667,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.00166667,0,0.983333,0,0.005,0.00666667,0,0.00333333,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0.160237,0,0,0.0207715,0.513353,0,0,0,0,0.181009,0,0.121662,0,0,0,0.00296736,0,0,0
0,0,0,0.995238,0,0.0047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0163934,0,0,0,0.052459,0,0,0,0,0,0.0262295,0,0,0.904918,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0.417112,0,0,0.208556,0,0,0,0,0,0,0.374332,0,0,0,0,0,0
